,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
231,f7010536,116 400,Samsung Galaxy A71 6/128Gb Crush Black,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
232,f6991418,70 949,Samsung Galaxy A31 4/64Gb Prism Crush Blue,Samsung, Galaxy A31,"экран 6.4""",64Гб,48Mpix,20Mpix,4 Гб
233,f7014554,992 000,Xiaomi Redmi Note 9S 6/128Gb Aurora Blue,Xiaomi, Redmi Note 9S,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
234,f7094565,536 369,Apple iPhone 12 Pro 128Gb Pacific Blue,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
235,f5969380,332 200,Apple iPhone Xr 64Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",64Гб,12Mpix,7Mpix,3 Гб
236,f6213022,59 600,Meizu X8 4/64Gb Blue,Meizu, X8,"экран 5.9""",64Гб,12Mpix,20Mpix,4 Гб
237,f7144968,4 712,Мобильный телефон BQ 1846 One Power чёрный+серый ST28707,Мобильный, телефон BQ 1846 One Power чёрный+серый ST28707,Not Found,Not Found,Not Found,Not Found,Not Found
238,f7141889,238 000,"Google PIXEL 4A 6GB/128GB, JUST BLACK",Google, PIXEL 4A,"экран 5.81""",128Гб,12.2Mpix,8Mpix,6 Гб
239,f7067861,110 000,Xiaomi Poco X3 NFC 6/128Gb Shadow Gray,Xiaomi, Poco X3 NFC,"экран 6.67""",128Гб,64Mpix,20Mpix,6 Гб
240,f7126622,409 890,Apple iPhone 12 Mini 128Gb,Apple, iPhone 12 Mini,"экран 5.4""",128Гб,12Mpix,12Mpix,6 Гб
241,f7141266,250 000,Apple iPhone 11 64Gb Black,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
242,f7003105,292 400,Apple iPhone Xr 128Gb (1 SIM) Black,Apple, iPhone Xr,"экран 6.1""",128Гб,12Mpix,7Mpix,3 Гб
243,f7139548,180 000,Apple iPhone Xr 64Gb (2 SIM) Black,Apple, iPhone Xr,"экран 6.1""",64Гб,12Mpix,7Mpix,3 Гб
244,f7110978,3 450,Nobby 100 Black,Nobby, 100 Black,"экран 1.77""",32Гб,Not Found,Not Found,Not Found
245,f7139169,341 000,Apple iPhone 11 Pro 64Gb Black,Apple, iPhone 11 Pro,"экран 5.8""",64Гб,12Mpix,12Mpix,6 Гб
246,f6570586,548 000,Apple iPhone 11 Pro Max 256Gb Midnight Green,Apple, iPhone 11 Pro Max,"экран 6.5""",256Гб,12Mpix,12Mpix,6 Гб
247,f6876891,185 000,Apple iPhone SE (2020) 64Gb Red,Apple, iPhone SE (2020),"экран 4.7""",64Гб,12Mpix,7Mpix,3 Гб
248,f6947172,92 990,Смартфон Xiaomi Redmi Note 9 Pro 6/64Gb Interstellar Gray,Смартфон, Xiaomi Redmi Note 9 Pro,"экран 6.67""",64Гб,48Mpix,16Mpix,6 Гб
249,f6946790,87 990,Xiaomi Redmi Note 9S 6/128Gb Interstellar Gray,Xiaomi, Redmi Note 9S,"экран 6.67""",128Гб,48Mpix,16Mpix,6 Гб
