,ID,Name,Price,Proccessor,Size,CPU Frequency,Volume
243,f7011901,Игровой ноутбук HP Pavilion Gaming 15-ec1024ur 16D71EA,399 900,AMD Ryzen 5,"15.6""",3000 MHz,1000
244,f6448914,Ноутбук HP Omen 15-dc1052ur 7QD20EA,549 900,Core i5,"15.6""",2400 MHz,512
245,f6381242,Ноутбук Xiaomi Mi Notebook Lite 15.6 2019 White,419 900,Core i7,"15.6""",1800 MHz,512
246,f6646217,Игровой ноутбук Xiaomi Mi Gaming Laptop Black,579 900,Core i7,"15.6""",2600 MHz,512
247,f7035566,Зарядное устройство для Macbook Air Apple MagSafe2 45W ISCM4548,27 575,Not Found,Not Found,Not Found,Not Found
248,f7035353,"Зарядное устройство для Macbook Air Apple 45W Magsafe1, 14.5V",26 686,Not Found,Not Found,Not Found,Not Found
249,f6889008,Ноутбук MSI WS72 6QI 6QI-202RU,1 091 370,Core i5,"17.3""",2300 MHz,1000
250,f6887854,Игровой ноутбук MSI GL62M 7RD 7RD-265US,420 800,Core i5,"15.6""",2500 MHz,1000
251,f6886790,Ноутбук DELL INSPIRON 7566,573 060,Core i7,"15.6""",2600 MHz,628
252,f7053160,Игровой ноутбук Dream Machines S1660Ti-15XX04,584 990,Core i7,"15.6""",2600 MHz,Not Found
253,f7150760,Ноутбук Lenovo ThinkBook 15 20SM007LRU,273 955,Core i5,"15.6""",1000 MHz,256
254,f7057134,Ноутбук HP EliteBook 840 G7,461 352,Core i5,"14""",1600 MHz,256
255,f7063805,Игровой ноутбук DELL Inspiron Gaming 5500 210-AVQN Black,736 801,Core i7,"15.6""",2600 MHz,1000
256,f6845035,Ноутбук HP ProBook 450 G7 8MH13EA,362 420,Core i5,"15.6""",1600 MHz,256
257,f7083103,Ноутбук HP EliteBook 840 G6 6XD76EA,467 511,Core i5,"14""",1600 MHz,256
258,f6698688,Asus TUF Gaming FX705DT-H7118T 90NR02B1-M04440,549 649,Not Found,Not Found,Not Found,Not Found
259,f7142912,Аксессуар для ПК и Ноутбука Trust SP HUB 10 Port USB 2.0 16131,4 237,Not Found,Not Found,2000 MHz,Not Found
260,f6963498,Ноутбук Apple MacBook Pro 13 with Touch Bar Mid 2020 Space Gray MWP52 Space Gray,567 995,Core i5,"13.3""",2000 MHz,1000
261,f7053117,Игровой ноутбук Dream Machines RT2060-15XX06,381 842,Core i7,"15.6""",2600 MHz,Not Found
262,f6824840,Ноутбук HP 17-by1010ur 5SX47EA,325 760,Core i5,"17.3""",1600 MHz,1000
263,f6698613,Ноутбук DELL Inspiron G5 15 5587 210-AOVT_10,671 185,Core i7,"15.6""",2200 MHz,1128
264,f6118622,Ноутбук Acer TRAVELMATE P2 TMP259-G2-M-39U9 NX.VEPER.002,286 223,Core i3,"15.6""",2400 MHz,500
265,f7101185,Ноутбук Lenovo IdeaPad 3 15ADA05 81W100H2RK Silver,161 250,AMD Ryzen 3,"15.6""",2600 MHz,256
266,f7139734,Ноутбук ASUS VivoBook X512DA Grey,178 920,Athlon 3050U,"15.6""",2300 MHz,256
267,f7095619,Ноутбук Acer ASPIRE 3 (A315-56) NX.HS5ER.012,322 000,Core i5,"15.6""",1000 MHz,1256
268,f6745796,Ноутбук HP ProBook 470 G7 9HP78EA,429 500,Core i5,"17.3""",1600 MHz,1256
269,f7110658,ASUS FA506,490 000,Not Found,Not Found,Not Found,Not Found
270,f7138645,Мобильная рабочая станция HP ZBook 15,350 000,Core i7,"15.6""",2700 MHz,320
271,f7126324,Ноутбук DELL LATITUDE E5470,235 000,Core i5,"14""",2600 MHz,256
272,f7106714,Ноутбук HP ProBook 6560b,137 000,Core i5,"15.6""",2500 MHz,320
273,f7126424,Ноутбук Lenovo THINKPAD X201,79 000,Core i5,"12.1""",2400 MHz,250
274,f7110255,Ноутбук Lenovo THINKPAD X220,86 000,Core i5,"12.5""",2500 MHz,320
275,f7098812,Ноутбук Lenovo THINKPAD X1 Carbon (8th Gen) 20U9004RRT Black,776 000,Core i5,"14""",1600 MHz,512
276,f7101003,Ультрабук Xiaomi Mi Notebook Air 13.3 JYU4151CN,366 500,Core i5,"13.3""",1600 MHz,512
277,f7132214,"HP Europe N2L85AA#ABB Аккумулятор HP Europe/HS04/Li-Ion/44 Ah/19,5",13 357,Not Found,Not Found,Not Found,Not Found
278,f7130290,Игровой ноутбук DELL Inspiron Gaming 7700 210-AVTQ-A1 Black,825 090,Core i7,"17.3""",2600 MHz,1000
279,f7104979,Ноутбук Lenovo IdeaPad 5 15ARE05 81W40035RK,320 990,AMD Ryzen 5,"15.6""",2300 MHz,512
280,f6877441,Ультрабук Apple MacBook Air 13 Mid 2020 Space Gray MWTJ2 Space Gray,447 000,Core i3,"13.3""",1100 MHz,256
281,f7128753,Игровой ноутбук ASUS ROG GL-753VE,350 000,Core i7,"17.3""",Not Found,1000
282,f7031719,Ноутбук Acer Nitro 5 AN515-44 15.6FHD AMD Ryzen 5 4600H/8Gb/512GB,472 989,Not Found,"15.6""",Not Found,512
283,f6903356,Игровой ноутбук HP Pavilion Gaming 15-bc519ur 7JT78EA,332 482,Core i5,"15.6""",2400 MHz,512
284,f6820857,Ноутбук ASUS VivoBook X543UA,170 866,Core i3,"15.6""",2300 MHz,1000
285,f6814155,Ноутбук HP 15-da0324ur 5GX12EA,196 858,Core i3,"15.6""",2300 MHz,1000
286,f6814135,Ноутбук Lenovo IdeaPad S145 81N30097RK,146 719,AMD A-Series,"15.6""",2600 MHz,1000
