,ID,Price,Name,Mark,Model,Size,Volume,Main camera
326,f7070303,55 040,Samsung Galaxy Tab A 8.0 SM-T290 32Gb Silver,Samsung, Galaxy Tab A 8.0 SM-T290,"экран 8""",встроенная память 32,камера 8Mpix
327,f7070293,329 380,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
328,f7070298,329 380,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Silver,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
329,f7021165,752 500,Apple iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Silver,Apple, iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Silver,"экран 12.9""",встроенная память 1024,камера 12Mpix
330,f7101179,414 090,Samsung Galaxy Tab S7 Plus 12.4 SM-T975 LTE 128Gb Mystic Black,Samsung, Galaxy Tab S7 Plus 12.4 SM-T975 LTE,"экран 12.4""",встроенная память 128,камера 13Mpix
331,f7065510,172 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
332,f7065509,172 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
333,f7065511,172 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
334,f6894944,63 210,Samsung Galaxy Tab A 8.0 SM-T295 LTE 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295 LTE,"экран 8""",встроенная память 32,камера 8Mpix
335,f6877746,455 800,Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi Silver,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 128,камера 12Mpix
336,f7065506,215 000,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
337,f6877745,455 800,Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 128,камера 12Mpix
338,f6852308,589 100,Apple iPad Pro 11 (2020) 512Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 512,камера 12Mpix
339,f6852623,507 400,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
340,f6852712,559 000,Apple iPad Pro 12.9 (2020) 256Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 256,камера 12Mpix
341,f6779090,365 500,Apple iPad Pro 11 (2018) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 256,камера 12Mpix
342,f6592518,215 000,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Gold,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
343,f6406196,149 640,Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb Black,Samsung, Galaxy Tab S5e 10.5 SM-T725,"экран 10.5""",встроенная память 64,камера 13Mpix
344,f6406197,149 640,Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb Gold,Samsung, Galaxy Tab S5e 10.5 SM-T725,"экран 10.5""",встроенная память 64,камера 13Mpix
345,f6963515,749 985,Apple iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020) 1Tb Wi-Fi + Cellular Space Gray,"экран 12.9""",встроенная память 1024,камера 12Mpix
346,f6876931,511 500,Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 128,камера 12Mpix
347,f7077087,214 000,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
348,f6837997,488 795,Apple iPad Pro 11 (2020) 256Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 256,камера 12Mpix
349,f7139845,423 985,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
350,f7074575,166 825,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
351,f7074576,166 825,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
352,f6527771,167 395,Apple iPad mini 5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
353,f7139744,310 000,Apple iPad Air 4 (2020) 64Gb Wi-Fi Silver,Apple, iPad Air 4 (2020),"экран 10.9""",встроенная память 64,камера 12Mpix
354,f7139743,310 000,Apple iPad Air 4 (2020) 64Gb Wi-Fi Space Gray,Apple, iPad Air 4 (2020),"экран 10.9""",встроенная память 64,камера 12Mpix
355,f7113055,390 000,Apple iPad Air 4 (2020) 256Gb Wi-Fi Space Gray,Apple, iPad Air 4 (2020),"экран 10.9""",встроенная память 256,камера 12Mpix
356,f6785972,514 900,Microsoft Surface Pro 7 i5 8Gb 256Gb Platinum,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 256,камера 8Mpix
357,f6870220,415 000,Apple iPad Pro 11 (2020) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 256,камера 12Mpix
358,f5616096,40 765,Lenovo Tab 4 TB-7304i 16Gb,Lenovo, Tab 4 TB-7304i,"экран 7""",встроенная память 16,камера 2Mpix
359,f7138793,38 080,BQ BQ-8068L Hornet Plus Pro Black,BQ, BQ-8068L Hornet Plus Pro Black,"экран 8.1""",встроенная память 16,камера 5Mpix
360,f7053807,89 000,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
361,f7069144,295 900,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
362,f7053909,235 000,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
363,f7069145,380 900,Samsung Galaxy Tab S7 Plus 12.4 SM-T976B LTE/5G 128Gb Mystic Black,Samsung, Galaxy Tab S7 Plus 12.4 SM-T976B LTE/5G,"экран 12.4""",встроенная память 128,камера 13Mpix
364,f7069146,380 900,Samsung Galaxy Tab S7 Plus 12.4 SM-T976B LTE/5G 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 Plus 12.4 SM-T976B LTE/5G,"экран 12.4""",встроенная память 128,камера 13Mpix
365,f7053942,159 900,Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb Gold,Samsung, Galaxy Tab S5e 10.5 SM-T725,"экран 10.5""",встроенная память 64,камера 13Mpix
366,f6803542,63 990,Samsung Galaxy Tab A 8.0 SM-T295 LTE 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295 LTE,"экран 8""",встроенная память 32,камера 8Mpix
367,f7138551,453 190,Apple iPad Pro 12.9 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 12.9 (2020),"экран 12.9""",встроенная память 128,камера 12Mpix
368,f7138459,214 430,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
369,f7138457,166 830,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Silver,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
370,f7138456,166 830,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
371,f7138455,166 830,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
372,f6869751,313 000,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Grey,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
373,f7006699,74 140,Samsung Galaxy Tab A 8.0 SM-T295 32Gb Silver,Samsung, Galaxy Tab A 8.0 SM-T295,"экран 8""",встроенная память 32,камера 8Mpix
374,f7138277,30 130,BQ BQ-7040G Charm Plus Gold,BQ, BQ-7040G Charm Plus Gold,"экран 7""",встроенная память 16,камера 2Mpix
