,ID,Price,Name,Mark,Model,Size,Volume,Main camera
59,f7053950,141 900,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Grey,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
60,f6643100,561 000,Microsoft Surface Pro 7 i3 4Gb 128Gb Platinum,Microsoft, Surface Pro 7 i3,"экран 12.3""",встроенная память 128,камера 8Mpix
61,f6643103,467 500,Microsoft Surface Pro 7 i5 8Gb 128Gb Platinum,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 128,камера 8Mpix
62,f6153501,833 199,Apple iPad Pro 12.9 (2018) 512Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 12.9 (2018),"экран 12.9""",встроенная память 512,камера 12Mpix
63,f6153546,314 967,Apple iPad Pro 9.7 128Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 9.7,"экран 9.7""",встроенная память 128,камера 12Mpix
64,f6302083,286 500,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Gold,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
65,f6888946,503 380,Планшет ASUS Transformer 3 T305CA,Планшет, ASUS Transformer 3 T305CA,Not Found,Not Found,Not Found
66,f6888981,248 320,Планшет ASUS Transformer Mini T102HA-GR022T,Планшет, ASUS Transformer Mini T102HA-GR022T,Not Found,Not Found,Not Found
67,f7071976,30 790,BQ BQ-1081G White,BQ, BQ-1081G White,"экран 10.1""",встроенная память 8,камера 2Mpix
68,f7063684,23 900,Prestigio Smartkids 3197 Blue,Prestigio, Smartkids 3197 Blue,"экран 7""",встроенная память 16,камера 2Mpix
69,f7101907,123 690,Samsung Galaxy Tab A7 10.4 SM-T505 LTE 32Gb Grey,Samsung, Galaxy Tab A7 10.4 SM-T505 LTE,"экран 10.4""",встроенная память 32,камера 8Mpix
70,f7141596,422 843,Apple 11-inch iPad Pro 3G935HC/A,Apple, 11-inch iPad Pro 3G935HC/A,Not Found,Not Found,Not Found
71,f7070295,329 380,Samsung Galaxy Tab S7 11.0 SM-T875 LTE 128Gb Mystic Bronze,Samsung, Galaxy Tab S7 11.0 SM-T875 LTE,"экран 11""",встроенная память 128,камера 13Mpix
72,f6851981,451 500,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
73,f7077089,214 000,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
74,f7074574,166 825,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Gold,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
75,f5615227,62 118,Samsung Galaxy Tab A 7.0 SM-T285 8Gb белый,Samsung, Galaxy Tab A 7.0 SM-T285,"экран 7""",встроенная память 8,камера 5Mpix
76,f6723055,77 000,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
77,f6870967,569 490,Apple iPad Pro 11 (2020) 512Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 512,камера 12Mpix
78,f7010085,58 590,Samsung Galaxy Tab A 8.0 SM-T290 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T290,"экран 8""",встроенная память 32,камера 8Mpix
79,f5986650,335 000,Apple iPad Pro 11 (2018) 64Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
80,f6153536,160 545,Apple iPad (2017) 32Gb Wi-Fi Silver,Apple, iPad (2017),"экран 9.7""",встроенная память 32,камера 8Mpix
81,f6818175,194 000,Apple iPad 10.2 (2019) 32Gb Wi-Fi Gold,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
82,f6284207,213 000,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
83,f6796577,35 980,Prestigio MultiPad Wize 4111 3G Black,Prestigio, MultiPad Wize 4111 3G Black,"экран 10.1""",встроенная память 16,камера 2Mpix
84,f6005149,105 099,Lenovo Yoga Tablet 10 3 2Gb 16Gb 4G,Lenovo, Yoga Tablet 10 3,"экран 10.1""",встроенная память 16,камера 8Mpix
85,f7094800,165 990,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
86,f6779605,103 487,Lenovo Yoga Tablet 10 3 2Gb 16Gb 4G,Lenovo, Yoga Tablet 10 3,"экран 10.1""",встроенная память 16,камера 8Mpix
87,f6406194,82 130,Samsung Galaxy Tab A 10.1 SM-T515 32Gb Black,Samsung, Galaxy Tab A 10.1 SM-T515,"экран 10.1""",встроенная память 32,камера 8Mpix
88,f6652718,352 600,Microsoft Surface Pro 7 i5 8Gb 128Gb Platinum,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 128,камера 8Mpix
89,f6870961,488 700,Apple iPad Pro 11 (2020) 256Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 256,камера 12Mpix
90,f7076340,166 800,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
91,f5615197,71 176,Samsung Galaxy Tab E 9.6 SM-T561N 8Gb White,Samsung, Galaxy Tab E 9.6 SM-T561N,"экран 9.6""",встроенная память 8,камера 5Mpix
92,f7014068,216 900,Apple iPad Pro 10.5 (2017) 64Gb Wi-Fi + Cellular Rose Gold,Apple, iPad Pro 10.5 (2017),"экран 10.5""",встроенная память 64,камера 12Mpix
93,f6963577,138 995,Apple iPad 10.2 (2019) 32Gb Wi-Fi Gold,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
94,f6643123,662 000,Microsoft Surface Pro 7 i5 8Gb 256Gb Black,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 256,камера 8Mpix
95,f6814196,160 459,Apple iPad 10.2 (2019) 32Gb Wi-Fi Silver,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
96,f6153482,352 501,Apple iPad Pro 10.5 (2017) 64Gb Wi-Fi Rose Gold,Apple, iPad Pro 10.5 (2017),"экран 10.5""",встроенная память 64,камера 12Mpix
97,f6153615,427 277,Apple iPad Pro 10.5 (2017) 64Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 10.5 (2017),"экран 10.5""",встроенная память 64,камера 12Mpix
98,f6153404,181 409,Apple iPad 6th gen (2018) 32Gb Wi-Fi Silver,Apple, iPad 6th gen (2018),"экран 9.7""",встроенная память 32,камера 8Mpix
99,f6875173,366 000,Apple iPad Pro 11 (2018) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 256,камера 12Mpix
100,f6302082,286 500,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Silver,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
101,f7111297,24 045,BQ BQ-7038G Light Plus Red,BQ, BQ-7038G Light Plus Red,"экран 7""",встроенная память 16,камера 2Mpix
102,f7111277,24 045,BQ BQ-7038G Light Plus Violet,BQ, BQ-7038G Light Plus Violet,"экран 7""",встроенная память 16,камера 2Mpix
103,f7104089,165 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,Not Found
104,f7077577,37 190,BQ BQ-1083G Armor Pro Plus Print8,BQ, BQ-1083G Armor Pro Plus Print8,"экран 10.1""",встроенная память 16,камера 2Mpix
105,f6996778,253 580,Apple iPad Air 10.5 (2019) 64Gb Wi-Fi Gold,Apple, iPad Air 10.5 (2019),"экран 10.5""",встроенная память 64,камера 8Mpix
106,f7076112,162 900,Apple iPad 10.2 (2019) 32Gb Wi-Fi Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 32,камера 8Mpix
107,f7076120,318 840,Samsung Galaxy Tab S6 10.5 SM-T865 LTE 128Gb Brown,Samsung, Galaxy Tab S6 10.5 SM-T865 LTE,"экран 10.5""",встроенная память 128,камера 13Mpix
108,f7100949,213 800,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
109,f6652035,196 400,Apple iPad mini 5 (2019) 64Gb Wi-Fi Gold,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
110,f6948432,53 800,"Планшет Samsung Galaxy Tab A, 8.0"", 32Gb, Wi-Fi, Black SM-T290/B",Планшет," Samsung Galaxy Tab A, 8.0"",",Not Found,Not Found,Not Found
111,f7104504,167 000,Apple iPad mini 5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
112,f7104505,214 000,Apple iPad 8th gen 10.2 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 128,камера 8Mpix
113,f6875620,367 000,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
114,f6782467,36 907,Lenovo Tab 4 TB-7104F 16Gb Black,Lenovo, Tab 4 TB-7104F,"экран 7""",встроенная память 16,камера 2Mpix
115,f7075931,378 400,Microsoft Surface Pro 7 i5 8GB 128GB with type cover Platinum,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 128,Not Found
116,f7070302,55 040,Samsung Galaxy Tab A 8.0 SM-T290 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T290,"экран 8""",встроенная память 32,камера 8Mpix
117,f7065225,172 000,Apple iPad mini 5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
118,f6852109,408 500,Apple iPad Pro 11 (2020) 256Gb Wi-Fi Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 256,камера 12Mpix
119,f6851914,369 800,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
120,f6852025,451 500,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
121,f6573056,172 000,Apple iPad mini 5 (2019) 64Gb Wi-Fi Gold,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
122,f6070066,335 400,Apple iPad Pro 11 (2018) 64Gb Wi-Fi Silver,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
123,f6282465,214 500,Apple iPad mini 5 (2019) 256Gb Wi-Fi Space Gray,Apple, iPad mini 5 (2019),Not Found,встроенная память 256,камера 8Mpix
124,f6865513,368 985,Apple iPad Pro 11 (2020) 128Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
125,f5957626,383 400,Microsoft Surface Pro 5 i5 4Gb 128Gb,Microsoft, Surface Pro 5 i5,"экран 12.3""",встроенная память 128,камера 8Mpix
126,f6785960,514 900,Microsoft Surface Pro 7 i5 8Gb 256Gb Black,Microsoft, Surface Pro 7 i5,"экран 12.3""",встроенная память 256,камера 8Mpix
