,ID,Price,Name,Mark,Model,Size,Type,WiFi
72,f6890276,161 440,"Телевизор ЖК 32"" JVC LT-32M350, черный",Телевизор, ЖК,"32""",Not Found,Not Found
73,f6890227,156 500,"Samsung T28E310EX 27.5""",Samsung, T28E310EX,"27.5""",ЖК-LED,Yes
74,f6890311,190 770,Philips 32PHT4101,Philips, 32PHT4101,,Not Found,Not Found
75,f6815970,130 133,"SUPRA STV-LC40ST0075F 40""",SUPRA, STV-LC40ST0075F,"40""",ЖК-LED,Yes
76,f5752023,161 900,"Xiaomi Mi TV 4A 40 40""",Xiaomi, Mi TV 4A 40,"40""",ЖК-LED,Yes
77,f7000115,162 900,"Skyworth 50G2A 49.5""",Skyworth, 50G2A,"49.5""",Smart TV,Yes
78,f6650147,57 231,"Erisson 24LM8000T2 24""",Erisson, 24LM8000T2,"24""",ЖК-LED,Yes
79,f7077605,100 020,"BBK 32LEX-7171/TS2C 32""",BBK, 32LEX-7171/TS2C,"32""",ЖК-LED,Yes
80,f7148232,86 990,Телевизор Xiaomi MI LED TV 4A 32 Global Gray TBT0000186,Телевизор, Xiaomi MI LED TV 4A 32 Global Gray TBT0000186,,Not Found,Not Found
81,f7148033,107 990,"JVC LT-43N550 43""",JVC, LT-43N550,"43""",ЖК-LED,Yes
82,f6898238,138 690,"Xiaomi Mi TV 4S (L43M5-5ARU) 42.5""",Xiaomi, Mi TV 4S (L43M5-5ARU),"42.5""",Smart TV,Yes
83,f6862573,88 981,"Harper 43F660T 43""",Harper, 43F660T,"43""",ЖК-LED,Yes
84,f6699519,163 506,"LG 49LK5910PLC 49""",LG, 49LK5910PLC,"49""",ЖК-LED,Yes
85,f6897975,429 790,"Samsung The Serif QE49LS01TAUXRU 49""",Samsung, The Serif QE49LS01TAUXRU,"49""",QLED,Yes
86,f6904517,69 112,"TCL LED32S6500 HD 32""",TCL, LED32S6500 HD,"32""",Smart TV,Yes
87,f6904505,64 093,"Kivi 32H600GR 32""",Kivi, 32H600GR,"32""",Smart TV,Yes
88,f6222071,208 110,"LG 49LK5910PLC 49""",LG, 49LK5910PLC,"49""",ЖК-LED,Yes
89,f6675075,66 220,"Kivi 32H600GR 32""",Kivi, 32H600GR,"32""",Smart TV,Yes
90,f6901776,2 466,Подсветка RGB LED лента,Подсветка, RGB LED лента,,Not Found,Not Found
91,f7083916,218 750,"Samsung UE50TU7100UXCE 50""",Samsung, UE50TU7100UXCE,"50""",Smart TV,Yes
92,f6889681,272 870,"Телевизор ЖК 32"" LG 32LK6190PLA, серый",Телевизор, ЖК,"32""",Not Found,Not Found
93,f6889584,220 710,"LG 32LH519U 32""",LG, 32LH519U,"32""",ЖК-LED,Yes
94,f7012003,384 993,"Philips 58PUS7505 58""",Philips, 58PUS7505,"58""",ЖК-LED,Yes
95,f6645951,137 600,"Xiaomi Mi TV 4S 43 43""",Xiaomi, Mi TV 4S 43,"43""",Smart TV,Yes
96,f6622746,75 900,"Xiaomi Mi TV 4A 32 32""",Xiaomi, Mi TV 4A 32,"32""",ЖК-LED,Yes
97,f7148373,52 990,Телевизор Rebus REB-LED32D2200 Black TBT0000432,Телевизор, Rebus REB-LED32D2200 Black TBT0000432,,Not Found,Not Found
